disease,severity,medication1,medication2
AIDS,Mild,Antiretroviral therapy (ART),Prophylaxis for opportunistic infections
AIDS,Moderate,Antiretroviral therapy (ART),Prophylaxis + Monitoring
AIDS,Severe,Antiretroviral therapy (ART),Hospitalization + Opportunistic infection treatment
Chronic cholestasis,Mild,Ursodeoxycholic acid,Cholestyramine
Chronic cholestasis,Moderate,Ursodeoxycholic acid,Antipruritics
Chronic cholestasis,Severe,Ursodeoxycholic acid,Liver transplant evaluation
Drug Reaction,Mild,Discontinue offending drug,Antihistamines
Drug Reaction,Moderate,Discontinue offending drug,Topical corticosteroids
Drug Reaction,Severe,Discontinue offending drug,Systemic corticosteroids + Hospital care
GERD,Mild,Lifestyle modification,Antacids
GERD,Moderate,Proton pump inhibitors (PPIs),H2 blockers
GERD,Severe,Proton pump inhibitors (PPIs),Surgery (fundoplication)
Jaundice,Mild,Supportive care,Hydration
Jaundice,Moderate,Supportive care,Antiemetics
Jaundice,Severe,Supportive care,Treat underlying cause (e.g. surgery)
Migraine,Mild,NSAIDs,Rest in dark room
Migraine,Moderate,Triptans,Antiemetics
Migraine,Severe,Triptans,Preventive therapy (beta-blockers)
Paralysis (brain hemorrhage),Mild,Rehabilitation,Anticonvulsants
Paralysis (brain hemorrhage),Moderate,Rehabilitation,Physical therapy
Paralysis (brain hemorrhage),Severe,Rehabilitation,Clot-dissolving medications
Peptic ulcer disease,Mild,Proton pump inhibitors (PPIs),Antacids
Peptic ulcer disease,Moderate,Proton pump inhibitors (PPIs),Antibiotics (if H. pylori)
Peptic ulcer disease,Severe,Proton pump inhibitors (PPIs),Surgery
